Tick,CPU_Task,CPU_Util%,TaskID,Name,State
102,IDLE,91.2621,2,T2,finished
102,IDLE,91.2621,3,T3,finished
102,IDLE,91.2621,4,T4,finished
102,IDLE,91.2621,5,T5,ready
102,IDLE,91.2621,6,T6,finished
103,T5,91.3462,1,T1,finished
103,T5,91.3462,2,T2,finished
103,T5,91.3462,3,T3,finished
103,T5,91.3462,4,T4,finished
103,T5,91.3462,5,T5,running
103,T5,91.3462,6,T6,finished
104,IDLE,91.4286,1,T1,finished
104,IDLE,91.4286,2,T2,finished
104,IDLE,91.4286,3,T3,finished
104,IDLE,91.4286,4,T4,finished
104,IDLE,91.4286,5,T5,ready
104,IDLE,91.4286,6,T6,finished
105,T4,91.5094,1,T1,finished
105,T4,91.5094,2,T2,finished
105,T4,91.5094,3,T3,finished
105,T4,91.5094,4,T4,running
105,T4,91.5094,5,T5,ready
105,T4,91.5094,6,T6,finished
106,IDLE,91.5888,1,T1,finished
106,IDLE,91.5888,2,T2,finished
106,IDLE,91.5888,3,T3,finished
106,IDLE,91.5888,4,T4,finished
106,IDLE,91.5888,5,T5,ready
106,IDLE,91.5888,6,T6,finished
107,T5,91.6667,1,T1,finished
107,T5,91.6667,2,T2,finished
107,T5,91.6667,3,T3,finished
107,T5,91.6667,4,T4,finished
107,T5,91.6667,5,T5,running
107,T5,91.6667,6,T6,finished
108,IDLE,91.7431,1,T1,ready
108,IDLE,91.7431,2,T2,finished
108,IDLE,91.7431,3,T3,finished
108,IDLE,91.7431,4,T4,finished
108,IDLE,91.7431,5,T5,finished
108,IDLE,91.7431,6,T6,finished
109,IDLE,91.8182,1,T1,finished
109,IDLE,91.8182,2,T2,finished
109,IDLE,91.8182,3,T3,finished
109,IDLE,91.8182,4,T4,finished
109,IDLE,91.8182,5,T5,finished
109,IDLE,91.8182,6,T6,finished
110,T3,91.8919,1,T1,finished
110,T3,91.8919,2,T2,finished
110,T3,91.8919,3,T3,running
110,T3,91.8919,4,T4,finished
110,T3,91.8919,5,T5,finished
110,T3,91.8919,6,T6,finished
111,IDLE,91.9643,1,T1,finished
111,IDLE,91.9643,2,T2,finished
111,IDLE,91.9643,3,T3,finished
111,IDLE,91.9643,4,T4,finished
111,IDLE,91.9643,5,T5,finished
111,IDLE,91.9643,6,T6,finished
112,IDLE,92.0354,1,T1,finished
112,IDLE,92.0354,2,T2,finished
112,IDLE,92.0354,3,T3,finished
112,IDLE,92.0354,4,T4,finished
112,IDLE,92.0354,5,T5,finished
112,IDLE,92.0354,6,T6,finished
114,IDLE,91.3043,1,T1,finished
114,IDLE,91.3043,2,T2,finished
114,IDLE,91.3043,3,T3,finished
114,IDLE,91.3043,4,T4,finished
114,IDLE,91.3043,5,T5,finished
114,IDLE,91.3043,6,T6,finished
