META,DeadlineMisses,140
META,CPUUtil,100
Tick,CPU_Task,CPU_Util%,TaskID,Name,State
48,IDLE,100,5,T5,ready
48,IDLE,100,6,T6,finished
48,IDLE,100,7,T7,finished
48,IDLE,100,8,T8,finished
48,IDLE,100,9,T9,finished
48,IDLE,100,10,T10,finished
49,IDLE,100,1,T1,missed
49,IDLE,100,2,T2,missed
49,IDLE,100,3,T3,ready
49,IDLE,100,4,T4,ready
49,IDLE,100,5,T5,finished
49,IDLE,100,6,T6,finished
49,IDLE,100,7,T7,finished
49,IDLE,100,8,T8,finished
49,IDLE,100,9,T9,finished
49,IDLE,100,10,T10,finished
50,IDLE,100,1,T1,missed
50,IDLE,100,2,T2,missed
50,IDLE,100,3,T3,ready
50,IDLE,100,4,T4,ready
50,IDLE,100,5,T5,finished
50,IDLE,100,6,T6,ready
50,IDLE,100,7,T7,finished
50,IDLE,100,8,T8,finished
50,IDLE,100,9,T9,finished
50,IDLE,100,10,T10,finished
51,T6,100,1,T1,missed
51,T6,100,2,T2,missed
51,T6,100,3,T3,ready
51,T6,100,4,T4,ready
51,T6,100,5,T5,finished
51,T6,100,6,T6,running
51,T6,100,7,T7,finished
51,T6,100,8,T8,finished
51,T6,100,9,T9,finished
51,T6,100,10,T10,finished
52,IDLE,100,1,T1,missed
52,IDLE,100,2,T2,missed
52,IDLE,100,3,T3,missed
52,IDLE,100,4,T4,ready
52,IDLE,100,5,T5,finished
52,IDLE,100,6,T6,finished
52,IDLE,100,7,T7,finished
52,IDLE,100,8,T8,finished
52,IDLE,100,9,T9,finished
52,IDLE,100,10,T10,finished
53,IDLE,100,1,T1,missed
53,IDLE,100,2,T2,missed
53,IDLE,100,3,T3,missed
53,IDLE,100,4,T4,finished
53,IDLE,100,5,T5,finished
53,IDLE,100,6,T6,finished
53,IDLE,100,7,T7,finished
53,IDLE,100,8,T8,finished
53,IDLE,100,9,T9,finished
53,IDLE,100,10,T10,finished
54,IDLE,100,1,T1,missed
54,IDLE,100,2,T2,missed
54,IDLE,100,3,T3,missed
54,IDLE,100,4,T4,finished
54,IDLE,100,5,T5,finished
54,IDLE,100,6,T6,finished
54,IDLE,100,7,T7,finished
54,IDLE,100,8,T8,finished
54,IDLE,100,9,T9,finished
54,IDLE,100,10,T10,finished
55,IDLE,100,1,T1,missed
55,IDLE,100,2,T2,missed
55,IDLE,100,3,T3,missed
55,IDLE,100,4,T4,finished
55,IDLE,100,5,T5,finished
55,IDLE,100,6,T6,finished
55,IDLE,100,7,T7,finished
55,IDLE,100,8,T8,finished
55,IDLE,100,9,T9,finished
55,IDLE,100,10,T10,finished
56,IDLE,100,1,T1,missed
56,IDLE,100,2,T2,missed
56,IDLE,100,3,T3,missed
56,IDLE,100,4,T4,ready
56,IDLE,100,5,T5,finished
56,IDLE,100,6,T6,finished
56,IDLE,100,7,T7,finished
56,IDLE,100,8,T8,finished
56,IDLE,100,9,T9,finished
56,IDLE,100,10,T10,finished
57,IDLE,100,1,T1,missed
57,IDLE,100,2,T2,missed
57,IDLE,100,3,T3,missed
57,IDLE,100,4,T4,finished
57,IDLE,100,5,T5,finished
57,IDLE,100,6,T6,finished
57,IDLE,100,7,T7,finished
57,IDLE,100,8,T8,finished
57,IDLE,100,9,T9,finished
57,IDLE,100,10,T10,finished
58,T4,100,1,T1,missed
58,T4,100,2,T2,missed
58,T4,100,3,T3,missed
58,T4,100,4,T4,running
58,T4,100,5,T5,finished
58,T4,100,6,T6,finished
58,T4,100,7,T7,finished
58,T4,100,8,T8,finished
58,T4,100,9,T9,finished
58,T4,100,10,T10,finished
60,IDLE,100,1,T1,missed
60,IDLE,100,2,T2,ready
60,IDLE,100,3,T3,missed
60,IDLE,100,4,T4,ready
60,IDLE,100,5,T5,finished
60,IDLE,100,6,T6,ready
60,IDLE,100,7,T7,ready
60,IDLE,100,8,T8,ready
60,IDLE,100,9,T9,finished
60,IDLE,100,10,T10,finished
61,IDLE,100,1,T1,missed
61,IDLE,100,2,T2,ready
61,IDLE,100,3,T3,missed
61,IDLE,100,4,T4,ready
61,IDLE,100,5,T5,finished
61,IDLE,100,6,T6,ready
61,IDLE,100,7,T7,ready
61,IDLE,100,8,T8,finished
61,IDLE,100,9,T9,finished
61,IDLE,100,10,T10,finished
62,IDLE,100,1,T1,missed
62,IDLE,100,2,T2,ready
62,IDLE,100,3,T3,missed
62,IDLE,100,4,T4,missed
62,IDLE,100,5,T5,finished
62,IDLE,100,6,T6,ready
62,IDLE,100,7,T7,finished
62,IDLE,100,8,T8,finished
62,IDLE,100,9,T9,finished
62,IDLE,100,10,T10,finished
63,T6,100,1,T1,missed
63,T6,100,2,T2,ready
63,T6,100,3,T3,missed
63,T6,100,4,T4,ready
63,T6,100,5,T5,finished
63,T6,100,6,T6,running
63,T6,100,7,T7,finished
63,T6,100,8,T8,finished
63,T6,100,9,T9,finished
63,T6,100,10,T10,finished
64,IDLE,100,1,T1,missed
64,IDLE,100,2,T2,ready
64,IDLE,100,3,T3,missed
64,IDLE,100,4,T4,ready
